# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/1/2020 21:00,cfd74978,Furnace,Furnace,,,,489.838,0.49
3/1/2020 21:00,solar,Solar Production,Solar,,,,4.445,0.004
3/1/2020 21:00,63b2178f,Furnace1,Mystery Heat,,,,81.105,0.081
3/1/2020 22:00,mains,Total Usage,,,,,1232.579,1.233
3/1/2020 22:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 22:00,c4efa971,Fridge,Fridge,,,,0.294,0
3/1/2020 22:00,cfd74978,Furnace,Furnace,,,,446.724,0.447
3/1/2020 22:00,solar,Solar Production,Solar,,,,4.077,0.004
3/1/2020 22:00,63b2178f,Furnace1,Mystery Heat,,,,77.132,0.077
3/1/2020 23:00,mains,Total Usage,,,,,1147.812,1.148
3/1/2020 23:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/1/2020 23:00,cfd74978,Furnace,Furnace,,,,328.472,0.328
3/1/2020 23:00,solar,Solar Production,Solar,,,,3.619,0.004
3/1/2020 23:00,63b2178f,Furnace1,Mystery Heat,,,,55.137,0.055
3/1/2020 23:00,hgLq1FnZ,kasa plug,Smart Plug,,,,43.693,0.044
3/2/2020 0:00,mains,Total Usage,,,,,1082.229,1.082
3/2/2020 0:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 0:00,c4efa971,Fridge,Fridge,,,,75.223,0.075
3/2/2020 0:00,cfd74978,Furnace,Furnace,,,,139.511,0.14
3/2/2020 0:00,solar,Solar Production,Solar,,,,3.583,0.004
3/2/2020 0:00,63b2178f,Furnace1,Mystery Heat,,,,24.968,0.025
3/2/2020 0:00,77639ae9,Portable Heater,Space Heater,,,,26.359,0.026
3/2/2020 0:00,hgLq1FnZ,kasa plug,Smart Plug,,,,273.207,0.273
3/2/2020 1:00,mains,Total Usage,,,,,1092.697,1.093
3/2/2020 1:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 1:00,c4efa971,Fridge,Fridge,,,,29.842,0.03
3/2/2020 1:00,cfd74978,Furnace,Furnace,,,,290.92,0.291
3/2/2020 1:00,solar,Solar Production,Solar,,,,3.932,0.004
3/2/2020 1:00,63b2178f,Furnace1,Mystery Heat,,,,52.078,0.052
3/2/2020 1:00,77639ae9,Portable Heater,Space Heater,,,,17.941,0.018
3/2/2020 1:00,hgLq1FnZ,kasa plug,Smart Plug,,,,200.701,0.201
3/2/2020 2:00,mains,Total Usage,,,,,946.051,0.946
3/2/2020 2:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 2:00,c4efa971,Fridge,Fridge,,,,91.928,0.092
3/2/2020 2:00,solar,Solar Production,Solar,,,,3.519,0.004
3/2/2020 2:00,77639ae9,Portable Heater,Space Heater,,,,56.995,0.057
3/2/2020 2:00,hgLq1FnZ,kasa plug,Smart Plug,,,,368.723,0.369
3/2/2020 3:00,mains,Total Usage,,,,,1170.107,1.17
3/2/2020 3:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 3:00,c4efa971,Fridge,Fridge,,,,18.278,0.018
3/2/2020 3:00,cfd74978,Furnace,Furnace,,,,263.376,0.263
3/2/2020 3:00,solar,Solar Production,Solar,,,,4.48,0.004
3/2/2020 3:00,63b2178f,Furnace1,Mystery Heat,,,,47.441,0.047
3/2/2020 3:00,77639ae9,Portable Heater,Space Heater,,,,43.186,0.043
3/2/2020 3:00,hgLq1FnZ,kasa plug,Smart Plug,,,,327.277,0.327
3/2/2020 4:00,mains,Total Usage,,,,,1429.404,1.429
3/2/2020 4:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 4:00,c4efa971,Fridge,Fridge,,,,15.517,0.016
3/2/2020 4:00,cfd74978,Furnace,Furnace,,,,516.865,0.517
